city,state,fiscal_year,cityonly_police_fire_pct_general,fisc_police_fire_pct_general,fisc_police_usd,fisc_fire_usd,fisc_general_expenditure_usd,census_flags
Syracuse,NY,2023,11.52,9.66,67517880,48573244,1202258598,R/R
Yonkers,NY,2012,14.33,9.15,91404428,55429259,1604083510,R/R
Yonkers,NY,2017,14.73,8.97,106122397,68116288,1942901283,R/R
Yonkers,NY,2022,13.79,8.34,117821211,72045574,2275342181,R/R
Yonkers,NY,2023,13.28,8.19,126584389,72477987,2431687910,R/R
Akron,OH,2012,18.06,7.36,44553514,25800374,955634934,R/R
Akron,OH,2017,27.46,10.97,67488176,50409841,1074512567,I/I
Akron,OH,2022,28.37,12.41,84090002,68165608,1226732727,I/I
Akron,OH,2023,29.31,11.13,87778188,40637875,1153379525,R/R
Cincinnati,OH,2012,24.18,11.87,146548149,75050084,1866196613,R/R
Cincinnati,OH,2017,30.2,15.02,194959770,106253063,2005043316,I/I
Cincinnati,OH,2022,37.61,14.76,207206057,76140109,1919638029,R/R
Cincinnati,OH,2023,31.01,14.78,209773985,66130781,1866604731,R/R
Cleveland,OH,2012,29.54,10.97,187950833,89834057,2532665007,R/R
Cleveland,OH,2017,32.58,12.41,279120383,87426579,2953422597,R/R
Cleveland,OH,2022,44.37,14.24,255972452,133812556,2737873340,R/R
Cleveland,OH,2023,41.49,13.9,272527417,134878308,2931553290,R/R
Columbus,OH,2012,33.83,11.81,287068322,189615197,4035662238,R/R
Columbus,OH,2017,32.61,11.82,362772694,259292813,5260957665,R/R
Columbus,OH,2022,30.75,13.78,480262073,283051376,5540751705,R/R
Columbus,OH,2023,30.76,15.32,535236515,318920338,5576599893,R/R
Dayton,OH,2012,26.23,12.57,55851647,34724229,720755053,R/R
Dayton,OH,2017,34.42,14.15,65729312,38764719,738279848,I/I
Dayton,OH,2022,28.86,14.9,76840984,45843439,823423810,I/I
Dayton,OH,2023,39.52,15.26,73455892,45009631,776385172,R/R
Toledo,OH,2012,36.37,11.75,104739451,38768331,1221256188,R/R
Toledo,OH,2017,37.0,15.19,144358760,79763327,1475698999,I/I
Toledo,OH,2022,0.0,1.22,12472507,0,1022773999,-/-
Toledo,OH,2023,0.0,1.16,12555936,0,1080903736,-/-
Oklahoma,OK,2012,35.35,16.78,164869371,133280542,1776554321,R/R
Oklahoma,OK,2017,30.94,15.91,188969490,129111732,1998660110,R/R
Oklahoma,OK,2022,29.98,13.39,177505276,141083593,2379671216,R/R
Oklahoma,OK,2023,32.71,15.72,215632047,199286151,2640231446,R/R
Tulsa,OK,2012,22.12,11.36,95313871,70324772,1458688316,R/R
Tulsa,OK,2017,23.84,12.1,114928572,72064815,1545318760,R/R
Tulsa,OK,2022,23.84,13.49,169386613,92066046,1938677580,R/R
Tulsa,OK,2023,25.22,13.57,151841591,114488395,1963324992,R/R
Eugene,OR,2012,30.73,15.72,56740763,31296985,559897157,R/R
Eugene,OR,2017,31.99,15.55,62848750,37244396,643687412,R/R
Eugene,OR,2022,29.26,13.42,78282619,49471695,951895127,R/R
Eugene,OR,2023,31.12,14.19,85444755,51238817,963428117,R/R
Portland,OR,2012,21.05,9.69,197191182,96688216,3032300239,R/R
Portland,OR,2017,22.11,9.22,235902534,115791461,3812872156,R/R
Portland,OR,2022,19.27,7.62,257284190,146969264,5303185717,R/R
Portland,OR,2023,20.22,8.09,282209020,173850578,5637285159,R/R
Salem,OR,2012,25.1,10.73,41013506,25287230,617953455,R/R
Salem,OR,2017,25.05,11.66,51613559,28865058,690361670,I/I
Salem,OR,2022,26.93,10.67,66903051,40527645,1006631936,R/R
Salem,OR,2023,22.25,10.34,68892257,45018328,1101575270,R/R
Philadelphia,PA,2012,15.03,9.23,610114467,199308471,8767889455,R/R
Philadelphia,PA,2017,13.92,8.64,673357644,255209028,10750055660,R/R
Philadelphia,PA,2022,12.16,7.7,783930819,344947274,14663504155,R/R
Philadelphia,PA,2023,11.71,7.56,791243090,369895936,15354906124,R/R
Pittsburgh,PA,2012,23.46,7.98,90086650,51538716,1774637336,R/R
Pittsburgh,PA,2017,21.6,8.44,109254187,68805202,2108780638,R/R
Pittsburgh,PA,2022,29.02,10.18,148171690,90469509,2343782199,R/R
Pittsburgh,PA,2023,28.08,10.72,172309118,95556903,2497750335,R/R
Providence,RI,2012,20.32,18.96,82196240,63076461,766149574,R/R
Providence,RI,2017,21.51,20.19,94872396,72596487,829461501,R/R
Providence,RI,2022,18.77,17.51,90777335,85446733,1006605045,R/R
Providence,RI,2023,18.41,17.19,104242839,90644620,1134033136,R/R
Charleston,SC,2012,36.34,18.79,64478430,22503585,462879082,R/R
Charleston,SC,2017,44.4,19.57,79328271,29685553,556992944,I/I
Charleston,SC,2022,29.81,14.21,84097613,39638858,870620165,I/I
Charleston,SC,2023,35.92,16.36,89237286,43520862,811303737,R/R
Columbia,SC,2012,27.66,13.91,45783534,28477142,533840419,R/R
Columbia,SC,2017,23.73,13.48,60366133,32762709,690801460,R/R
Columbia,SC,2022,33.29,20.37,81861092,68846848,740005356,R/R
Columbia,SC,2023,30.24,17.62,66334111,67145413,757456395,R/R
Sioux Falls,SD,2012,21.86,10.1,34009385,21910765,553480014,R/R
Sioux Falls,SD,2017,19.1,9.95,38772692,22463899,615732763,R/R
Sioux Falls,SD,2022,25.38,12.05,52206358,41167686,775119323,R/R
Sioux Falls,SD,2023,26.09,12.99,58250459,64823475,947734113,R/R
Chattanooga,TN,2012,23.62,11.25,63868979,52212747,1031667414,R/R
Chattanooga,TN,2017,28.62,10.04,81387758,41720906,1226792449,R/R
Chattanooga,TN,2022,26.7,10.28,101259475,57030516,1539057024,R/R
Chattanooga,TN,2023,26.12,9.93,109508155,60388241,1710197134,R/R
Knoxville,TN,2012,26.24,14.74,67724294,33934701,689460410,R/R
Knoxville,TN,2017,19.57,12.66,66323932,23547557,710090198,I/I
Knoxville,TN,2022,22.92,14.78,100834664,48262588,1008653014,I/I
Knoxville,TN,2023,22.71,14.91,107226803,51093084,1062122010,I/I
Memphis,TN,2012,16.82,14.49,328419780,172301978,3455556479,R/R
Memphis,TN,2017,40.08,20.06,376195484,189130019,2818805323,R/R
Memphis,TN,2022,35.48,17.74,419182928,234022774,3682413142,R/R
Memphis,TN,2023,33.15,17.3,442878750,249879626,4005081259,R/R
Nashville,TN,2012,12.59,11.79,199739611,110121834,2628238549,R/R
Nashville,TN,2017,10.03,9.64,221049601,129876511,3640772126,R/R
Nashville,TN,2022,11.59,10.85,283034972,165189012,4129779162,R/R
Nashville,TN,2023,12.39,11.61,322160050,178524167,4312561768,R/R
Arlington,TX,2012,25.77,9.18,98895186,39120028,1504021537,R/R
Arlington,TX,2017,31.91,9.37,111517385,48549953,1707502307,I/I
Arlington,TX,2022,28.58,8.99,125113784,49661467,1945033809,R/R
Arlington,TX,2023,28.55,8.88,130546367,52149653,2057486124,R/R
Austin,TX,2012,26.26,12.85,314955538,127794020,3445512573,R/R
Austin,TX,2017,25.67,12.64,406719290,167985848,4546549819,I/I
Austin,TX,2022,23.65,11.79,517154142,239148740,6415755800,I/I
Austin,TX,2023,19.74,10.17,439226440,229850902,6577390230,R/R
Corpus Christi,TX,2012,31.64,11.62,82507318,46696342,1111502948,R/R
Corpus Christi,TX,2017,33.71,11.05,96189865,55234137,1370535849,R/R
Corpus Christi,TX,2022,30.55,10.92,99286871,67411541,1527100593,R/R
Corpus Christi,TX,2023,29.36,9.75,101267449,65167860,1707892201,R/R
Dallas,TX,2012,21.53,9.02,371952549,189726000,6229528225,R/R
Dallas,TX,2017,19.44,8.77,434118414,216670565,7418366140,R/R
Dallas,TX,2022,23.43,10.25,621266656,387455292,9841475930,R/R
Dallas,TX,2023,23.08,10.09,648573228,409040899,10485725403,R/R
El Paso,TX,2012,32.46,9.41,149299035,87280434,2513066979,R/R
El Paso,TX,2017,29.19,8.55,161541402,97692838,3030662880,R/R
El Paso,TX,2022,30.13,8.36,191885339,166513956,4285573922,R/R
El Paso,TX,2023,28.23,7.8,200744658,144462252,4427861759,R/R
Ft. Worth,TX,2012,30.66,11.52,264036626,107882033,3228659304,R/R
Ft. Worth,TX,2017,32.3,11.92,311276490,135958818,3752181048,I/I
Ft. Worth,TX,2022,31.68,11.9,403810119,187220482,4965413562,R/R
Ft. Worth,TX,2023,32.52,11.5,430124030,184880314,5347596864,R/R
Garland,TX,2012,31.42,8.85,48783706,27955623,867272424,R/R
Garland,TX,2017,30.68,7.63,52040368,30654227,1083300336,R/R
Garland,TX,2022,24.94,7.91,72017022,39793507,1413050916,R/R
Garland,TX,2023,24.61,7.64,73900088,40173559,1492987218,R/R
Houston,TX,2012,25.94,11.42,760855006,361420527,9825198634,R/R
Houston,TX,2017,28.96,11.28,930449359,405583820,11847185021,R/R
Houston,TX,2022,28.34,11.8,1228113774,524706114,14854189143,R/R
Houston,TX,2023,27.34,11.6,1151645204,513233440,14347139157,R/R
Lubbock,TX,2012,27.45,8.83,59781101,35405009,1078237039,R/R
Lubbock,TX,2017,28.0,10.44,89696684,49533325,1332998117,R/R
Lubbock,TX,2022,33.19,10.55,118506108,48819959,1585592042,R/R
Lubbock,TX,2023,34.53,10.11,130659376,50893262,1796233720,R/R
San Antonio,TX,2012,30.68,10.22,356627011,228973019,5730269759,R/R
San Antonio,TX,2017,28.79,9.89,438453059,270979701,7169921722,R/R
San Antonio,TX,2022,28.32,9.97,538416519,345679943,8866022190,R/R
San Antonio,TX,2023,27.29,9.61,571317744,352939141,9618296346,R/R
Provo,UT,2012,23.94,10.79,18839486,8841536,256566024,AR/R
Provo,UT,2017,26.05,7.89,17407365,9920619,346357133,R/R
Provo,UT,2022,13.11,6.32,20631484,11333347,505434369,R/R
Provo,UT,2023,14.68,6.06,20150515,11212216,517902437,R/R
Salt Lake City,UT,2012,22.22,11.95,65145112,36413676,849763573,R/R
Salt Lake City,UT,2017,13.69,10.05,95933847,36319750,1316219155,R/R
Salt Lake City,UT,2022,8.27,6.49,80517339,44277388,1923491874,R/R
Salt Lake City,UT,2023,8.04,6.32,94115016,38407737,2096740398,R/R
Chesapeake,VA,2012,9.21,7.97,39635242,39159776,989220319,R/R
Chesapeake,VA,2017,11.02,9.54,62922566,44656821,1127409797,R/R
Chesapeake,VA,2022,12.09,10.03,83430735,57877096,1409425022,R/R
Chesapeake,VA,2023,12.02,10.13,88758864,67046991,1537508150,R/R
Norfolk,VA,2012,8.93,7.78,68216536,40618853,1399238698,R/R
Norfolk,VA,2017,9.34,8.07,73616273,44075153,1457666726,S/RS
Norfolk,VA,2022,9.87,8.22,89866915,41110126,1592764662,R/R
Norfolk,VA,2023,9.39,7.91,93353132,41464935,1703393226,R/R
Richmond,VA,2012,13.73,13.34,92064922,47129361,1043131720,R/R
Richmond,VA,2017,12.11,11.81,103295144,45822822,1262648293,R/R
Richmond,VA,2022,14.04,13.75,117875286,85641001,1480322557,R/R
Richmond,VA,2023,15.1,14.89,135185131,99828175,1578364948,R/R
Virginia Beach,VA,2012,7.63,6.65,89258987,47589673,2056348824,R/R
Virginia Beach,VA,2017,8.28,7.16,97550217,55118760,2132157091,R/R
Virginia Beach,VA,2022,9.35,7.75,115979410,84384700,2583846483,R/R
Virginia Beach,VA,2023,9.68,8.18,130374876,99683718,2813788330,R/R
Seattle,WA,2012,20.44,10.77,222238215,128764067,3260288896,R/R
Seattle,WA,2017,16.9,9.81,269141886,191405413,4694403701,R/R
Seattle,WA,2022,17.89,9.33,336835432,241864175,6202221378,R/R
Seattle,WA,2023,16.35,8.7,346194858,245635284,6800448293,R/R
Spokane,WA,2012,23.5,10.32,58344008,37477605,928558895,R/R
Spokane,WA,2017,26.08,10.99,73474138,47367974,1099126138,R/R
Spokane,WA,2022,27.7,11.4,93975816,66727014,1410108876,R/R
Spokane,WA,2023,29.09,12.57,119254015,73802485,1535315533,R/R
Tacoma,WA,2012,19.7,10.42,75548276,44861443,1155836128,R/R
Tacoma,WA,2017,28.14,13.19,108799176,72482520,1374318127,R/R
Tacoma,WA,2022,28.51,13.3,128304296,95671599,1684234174,R/R
Tacoma,WA,2023,31.46,14.09,139835531,109479932,1769477691,R/R
Madison,WI,2012,25.23,12.24,85207503,44117590,1056913340,R/R
Madison,WI,2017,30.39,12.85,92874522,52238864,1129388237,R/R
Madison,WI,2022,26.32,12.0,109006125,64641169,1446658005,R/R
Madison,WI,2023,23.91,10.52,109498869,66746290,1674804779,R/R
Milwaukee,WI,2012,32.19,11.93,280943161,91158047,3117947154,R/R
Milwaukee,WI,2017,35.5,14.06,343441831,110891982,3232028312,R/R
Milwaukee,WI,2022,34.72,13.8,346927249,133029308,3478444678,R/R
Milwaukee,WI,2023,37.71,13.46,356079465,135868713,3654023716,R/R
